Unnamed: 0,ID,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
8,6701637996,1,1,1,1,3,3,6,6,7,8,8,9,11,15,15,17,18,18,20,23,23,23,23,1996
69,7004236053,4,4,5,5,5,5,5,6,6,6,10,10,11,11,11,16,16,16,16,16,19,19,19,1996
157,6506895472,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1996
297,24546670300,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1996
339,7003578682,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996
342,55481774800,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,1996
416,56636695600,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996
436,7003645893,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1996
461,57201172569,5,6,6,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1996
500,6701754812,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1996
567,7102577004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996
827,6603965361,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,1996
955,6602136431,2,3,4,6,9,10,10,12,12,21,22,22,22,22,22,24,28,31,32,34,40,45,49,1996
972,57201301493,1,1,1,2,4,5,7,7,10,12,12,14,15,15,16,16,16,17,17,17,18,18,18,1996
975,7006575535,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,1996
1004,57199378508,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996
1019,6603013847,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996
1038,7003979808,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,1996
1124,57130361800,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996
1188,7102544847,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1996
1273,6603394122,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,1996
1334,14621197900,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,1996
1336,15519226500,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,6,6,6,6,1996
1376,6603908018,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1996
1388,6506942662,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996
1409,7006638319,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,1996
1498,7004155855,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1996
1499,7006864322,6,6,6,6,6,10,10,11,16,16,16,16,16,16,16,19,30,32,33,33,33,33,38,1996
1518,6506251602,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1996
1684,6701417488,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1996
1864,6602589749,2,3,3,3,3,3,3,3,6,7,8,8,8,8,8,8,8,8,8,8,11,12,12,1996
1883,56213912900,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1996
2012,7202142125,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1996
2085,55942923500,5,5,5,5,5,5,5,5,5,5,5,5,9,9,9,9,9,9,9,9,9,9,9,1996
2106,14041701600,5,5,5,5,5,5,9,9,9,9,9,9,16,22,27,27,27,27,29,29,29,32,32,1996
2188,6603112614,1,1,1,1,2,2,2,5,5,5,5,5,9,11,12,12,18,22,22,27,29,29,29,1996
2212,7003488606,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1996
