Unnamed: 0,ID,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
62,7006185644,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1998
296,6602719789,3,10,22,27,27,32,32,32,32,32,32,32,32,32,32,41,42,46,48,50,55,1998
356,7801490333,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1998
421,6507429186,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1998
429,45960893200,5,5,5,5,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1998
547,7003975999,5,5,5,5,5,5,5,5,5,5,5,5,10,10,19,19,19,19,20,20,26,1998
584,6602451297,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1998
611,55665563600,1,1,2,4,11,11,14,16,19,21,23,30,34,35,36,39,40,40,40,40,44,1998
718,7102655467,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1998
779,56370539400,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1998
828,7003498035,15,15,15,15,18,18,72,72,72,72,81,81,81,81,88,88,88,88,95,95,95,1998
837,6507494400,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,1998
884,6603277429,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1998
944,6603244278,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1998
983,57191996462,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,1998
1036,6602896605,2,2,2,2,2,2,2,3,3,3,12,16,16,21,21,24,27,27,27,27,27,1998
1187,7102329673,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1998
1194,7005132128,2,2,2,2,5,5,5,9,9,9,9,9,9,9,9,9,9,12,12,12,16,1998
1278,57194449549,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1998
1292,6506937518,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1998
1346,55658057221,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1998
1352,57111205800,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1998
1363,55942188100,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1998
1419,6602517840,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1998
1521,8727223500,1,1,2,2,2,6,6,7,10,10,13,13,30,30,30,32,35,39,49,51,55,1998
1551,7004874439,40,40,40,40,40,40,40,40,40,40,104,104,104,104,104,104,104,104,104,104,104,1998
1559,57204074469,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1998
1603,6505941973,5,5,5,6,7,7,7,7,22,29,29,29,29,29,29,29,29,29,29,40,40,1998
1649,7004291914,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1998
1650,6602602505,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1998
1653,7003273909,11,11,11,11,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1998
1703,57202369881,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1998
1749,7006772731,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,5,1998
1757,7003920103,8,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,1998
1845,7005667469,2,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1998
2273,56213222700,7,17,17,17,24,24,24,25,33,42,42,42,42,42,42,42,42,42,42,42,42,1998
2293,7201844239,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1998
2377,57203526191,1,3,3,3,5,5,6,6,6,6,12,12,12,13,14,16,17,20,20,23,23,1998
2426,6507922107,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1998
2443,6701864013,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1998
2526,6602930466,2,2,3,3,3,8,8,9,9,11,12,12,18,18,20,23,23,23,23,23,23,1998
2531,6701497179,19,20,20,20,20,25,27,32,38,39,41,42,44,46,52,54,54,57,63,63,65,1998
2573,6701706084,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1998
2581,7005938969,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1998
