Unnamed: 0,ID,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
37,6508033324,3,3,3,3,3,3,3,3,4,5,5,5,7,7,7,8,2003
53,22735903900,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2003
114,6701925503,5,6,6,6,9,9,9,9,12,12,16,35,55,55,55,55,2003
115,6603259884,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2003
139,15725722200,3,3,4,4,6,10,10,15,22,22,27,28,32,37,46,52,2003
146,6507693898,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2003
185,6507704669,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2003
193,6603561436,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2003
196,6701643704,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2003
210,36941958300,4,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2003
281,6602090341,4,4,4,4,4,15,15,15,15,15,15,25,28,31,31,31,2003
316,26435361700,4,4,4,4,6,6,6,7,7,11,11,11,11,11,11,11,2003
338,15063887400,2,2,2,3,3,3,3,3,3,3,5,5,5,5,5,5,2003
512,6603421658,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2003
516,23396074500,2,2,4,8,14,16,19,25,28,30,30,34,34,35,36,36,2003
583,6602795654,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2003
631,6602899821,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2003
632,6506330966,5,7,7,7,7,7,7,9,9,19,26,32,36,36,37,37,2003
703,57197111302,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2003
708,6602977367,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2003
728,56097020400,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2003
732,6701590849,6,6,6,6,17,22,23,23,23,23,23,23,23,23,23,23,2003
