Unnamed: 0,ID,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
2,7004267341,10,10,10,10,16,16,16,16,16,16,16,2008
15,24386037000,1,1,1,1,1,1,1,3,3,6,6,2008
29,56937882200,5,5,5,5,5,5,5,5,5,5,5,2008
38,25628233000,3,3,3,3,7,7,7,7,7,7,7,2008
46,25222870300,1,1,1,1,1,1,1,1,1,1,1,2008
87,36164894300,2,2,2,2,2,2,2,2,5,13,13,2008
124,26664481000,1,3,3,3,5,25,40,44,48,56,58,2008
134,25032012500,3,3,3,3,3,3,3,3,3,3,3,2008
137,25630274200,5,5,5,5,9,9,9,9,9,9,9,2008
142,6602531058,5,5,5,5,5,5,5,5,5,5,5,2008
156,6603477323,9,9,9,9,9,9,9,9,9,9,9,2008
182,24821884600,5,5,7,7,7,7,7,7,7,7,7,2008
189,36634726700,2,2,2,2,2,2,2,2,2,2,2,2008
205,25925271900,1,1,2,2,2,2,2,2,2,2,2,2008
235,26429280500,2,4,4,4,6,6,6,6,6,10,10,2008
272,23091570600,4,4,7,7,7,7,7,7,7,7,7,2008
273,15842015600,3,3,3,3,3,7,9,9,9,11,11,2008
281,25628571400,5,5,5,5,5,5,5,5,5,5,5,2008
287,25825575400,3,3,10,10,10,10,10,11,11,11,11,2008
295,55311855200,5,5,5,5,5,5,5,5,5,5,5,2008
306,23974111700,3,3,5,8,12,12,13,13,18,19,19,2008
324,24821358600,4,4,4,4,4,4,4,4,4,4,4,2008
353,55460736000,15,15,15,15,15,15,15,15,15,15,15,2008
355,36978855700,18,18,18,18,18,18,18,18,18,18,18,2008
361,35593811100,1,1,1,1,1,1,1,1,1,1,1,2008
384,6701690859,1,5,6,8,8,11,11,11,14,14,14,2008
390,52863956700,2,2,2,2,2,2,2,2,2,2,2,2008
399,6507601911,9,12,14,14,14,14,14,14,14,14,14,2008
448,26657137800,1,1,1,1,1,1,3,3,3,3,4,2008
462,26435136200,3,3,4,5,5,9,12,14,14,14,14,2008
512,25655229400,5,5,5,5,5,5,5,11,11,11,11,2008
534,23990008400,3,3,3,3,3,3,3,7,7,9,9,2008
561,14018246700,11,11,11,11,11,11,11,11,11,11,11,2008
694,56888636300,3,4,12,18,19,26,26,26,35,68,72,2008
699,15061717900,3,3,3,3,3,3,3,3,3,3,3,2008
726,26657654200,5,6,6,6,6,6,6,6,6,6,6,2008
730,7202855332,5,5,5,5,5,5,5,5,5,5,5,2008
758,6602919670,5,5,5,5,5,5,5,5,5,5,5,2008
770,25638577600,3,3,6,6,7,7,7,7,13,13,13,2008
793,35101716000,6,6,6,6,6,6,6,6,6,6,6,2008
802,26430656900,2,2,2,2,2,2,2,8,8,8,8,2008
808,35548863600,7,15,15,15,15,18,18,18,42,42,42,2008
838,35173644200,24,24,24,24,24,24,24,24,24,24,24,2008
843,7006736906,2,3,3,3,3,3,3,3,3,3,3,2008
893,8926076800,1,1,3,3,3,7,8,8,10,14,14,2008
901,8840968000,6,6,6,6,6,6,6,6,6,6,6,2008
928,7004272853,9,9,9,9,9,9,9,9,9,9,9,2008
933,36663574200,5,5,5,5,5,5,5,5,5,5,5,2008
1018,23979328600,2,2,2,2,2,2,2,2,2,2,2,2008
1025,35726709600,1,1,4,4,4,4,4,4,4,4,4,2008
1077,57196282050,2,2,2,2,2,2,2,2,2,2,2,2008
1080,6507104741,58,58,58,58,117,117,121,121,122,122,204,2008
1087,35239828200,4,4,4,4,4,4,4,4,4,4,4,2008
1100,26430954400,4,6,7,7,7,7,7,7,7,7,7,2008
1103,7004753693,2,2,2,2,2,2,2,2,2,2,2,2008
1110,24831715800,1,2,20,23,24,24,24,24,33,36,39,2008
1124,25027110000,5,6,9,12,14,14,18,18,18,18,18,2008
1140,6701492456,4,4,6,7,7,7,7,7,11,11,11,2008
1141,25960338400,2,4,4,4,5,6,6,8,8,8,8,2008
1143,25929125800,8,10,10,16,20,21,21,21,21,21,21,2008
1184,24823824900,6,7,9,9,9,9,9,9,9,9,9,2008
1199,9739808000,8,8,8,8,8,8,8,8,8,8,8,2008
1202,57188678139,3,3,3,3,3,3,3,3,3,3,3,2008
1212,25937377900,3,3,3,3,3,3,3,3,3,3,3,2008
1213,8220362200,2,2,2,2,2,2,2,2,2,2,5,2008
1225,24483480100,5,5,5,5,5,5,5,5,5,5,5,2008
1260,6603346374,3,3,3,3,3,3,3,3,3,3,3,2008
1286,55321729600,12,12,12,12,12,12,12,12,12,12,12,2008
1319,22940544900,2,2,2,2,2,2,2,2,2,2,2,2008
1332,6602468821,15,15,15,15,15,15,15,15,15,15,15,2008
1334,25031004400,4,4,4,4,4,4,4,4,4,4,4,2008
1350,57203766093,5,5,5,5,5,5,5,5,5,5,5,2008
1360,24341747200,5,5,5,5,5,5,5,5,5,5,5,2008
1373,36944163800,3,3,3,3,3,3,3,3,3,3,3,2008
1387,6603865406,1,1,1,1,1,1,1,1,1,1,1,2008
1389,56538603500,3,3,3,3,3,3,3,3,3,3,3,2008
1425,7103266173,7,7,7,19,19,19,19,19,19,19,19,2008
1437,25630447700,4,4,4,4,4,4,4,4,4,4,4,2008
1449,23470031300,3,3,3,3,3,3,3,3,3,3,3,2008
1457,21934214100,5,5,5,7,7,7,11,11,11,11,11,2008
1516,25640669400,19,19,19,19,19,19,19,19,19,19,19,2008
1521,7201645712,5,5,5,5,5,5,5,5,5,5,5,2008
1534,8970612300,8,8,8,8,8,8,8,8,8,8,8,2008
1550,24512790600,30,31,45,52,55,74,92,117,117,117,117,2008
1562,57002540900,4,4,4,4,4,4,4,4,4,4,4,2008
1584,24833470700,47,47,57,57,57,57,57,57,57,57,57,2008
