ID,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
21834460700,0,0,0,0,0,0,0,2,2,2,2,5,5,5,5
14041529400,0,0,3,3,3,4,7,7,8,8,10,10,16,16,22
8915683900,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4
55888724800,4,5,5,7,7,7,11,12,12,12,15,15,15,26,26
35579517100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
21743369000,3,3,3,4,7,7,7,7,9,10,11,11,13,13,16
8966521400,0,0,0,0,0,0,0,0,0,0,0,0,27,27,27
6507589105,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4
8723630100,0,0,0,7,8,8,8,8,13,13,17,17,17,17,17
8252143000,0,0,3,4,6,7,9,10,11,22,34,34,34,34,34
7004245418,3,3,5,7,10,10,11,11,11,11,14,14,15,15,15
6603751598,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16
16204149800,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
7202982666,9,14,15,15,18,22,24,26,26,30,34,38,49,49,49
7004567193,0,0,0,0,0,0,15,15,34,34,36,36,77,77,95
23975627600,3,3,3,3,4,4,4,7,8,8,8,9,9,10,10
22433529700,2,2,2,2,2,4,6,6,6,6,6,6,24,24,29
55884002600,0,0,0,4,4,4,4,4,4,11,11,11,11,11,11
10038902900,5,7,8,10,14,14,21,23,26,30,30,30,34,34,35
8255024300,0,0,59,59,59,59,105,105,109,109,114,114,178,178,178
16240669800,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9
24757890200,71,71,71,71,86,86,86,86,86,86,86,86,86,86,86
8397946300,0,0,0,0,0,0,0,0,0,7,7,7,14,14,14
8390339900,0,0,3,3,3,3,3,3,3,3,3,3,37,37,37
7203068904,0,0,0,0,0,0,8,9,12,21,21,27,27,28,28
14037987000,1,1,5,6,8,12,21,30,37,45,45,45,46,50,51
9742075200,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5
7004101038,3,3,7,8,8,8,8,8,8,8,8,8,8,11,11
24344369400,0,0,0,0,0,0,3,10,12,20,25,25,25,25,28
7102154502,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2
55921755700,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10
9043030100,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4
15126811600,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
6603488514,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
6603962601,0,14,14,14,14,14,14,14,29,29,29,29,29,29,29
6507322486,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3
8568976300,4,5,9,13,15,22,27,41,47,65,70,79,83,84,89
12770368900,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
8917377400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
15760139600,0,0,2,2,4,4,7,9,10,11,19,28,33,52,65
12795101900,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6
55975147200,0,0,0,0,0,0,0,0,0,0,0,0,136,140,156
6701740519,0,0,0,0,0,0,0,5,5,16,16,16,16,16,16
23979264200,0,0,0,0,0,6,6,6,12,13,13,13,13,13,13
57202798617,0,0,0,0,0,0,0,0,15,15,15,15,15,15,19
14628714600,0,0,0,0,8,8,11,11,11,11,13,20,20,20,23
6602450984,0,0,0,0,14,14,20,20,20,20,27,27,27,27,27
7004113296,0,0,0,0,0,0,0,0,85,85,85,85,105,105,105
56267985100,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3
21233564300,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4
14056640900,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6
8342925400,0,0,3,3,9,9,9,9,9,9,9,9,57,93,103
8377509000,0,0,0,0,4,4,4,4,4,7,7,7,10,11,11
7003554262,22,22,22,22,40,40,40,40,40,40,40,40,40,40,40
22984408800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
12645446400,0,0,2,3,3,3,3,16,16,16,17,20,20,26,26
11141215200,0,0,8,8,8,8,8,8,8,12,12,12,12,12,12
7003660479,15,15,15,27,88,88,115,115,115,115,115,115,115,115,115
7402172965,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
7005651253,0,0,0,0,0,0,0,0,4,4,10,10,10,22,22
16309090500,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7
6602735389,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7
8556196600,0,0,4,4,4,8,8,8,8,8,10,12,17,19,19
6602730249,0,0,24,24,29,35,35,35,40,40,40,56,64,64,64
55887764300,0,0,0,0,0,0,0,0,85,85,85,85,120,120,120
7004664017,0,0,0,0,3,4,7,11,19,19,19,19,19,26,26
35310832300,1,5,8,8,8,11,11,11,14,16,18,22,22,22,22
24766002000,0,0,0,0,0,0,0,0,0,0,2,2,2,10,14
15764974500,8,8,11,17,18,24,24,24,29,29,36,37,37,37,40
7404063887,0,0,0,0,0,0,0,0,0,3,3,3,3,3,9
55878398500,2,2,2,2,2,6,11,11,15,23,26,26,27,32,33
23974116800,0,8,10,12,14,14,16,16,17,17,18,20,20,21,21
6506968790,2,3,7,8,8,10,18,32,114,141,158,164,195,207,218
8354986600,32,37,53,66,83,83,83,84,84,84,84,100,100,115,115
24476241600,0,4,5,5,5,5,5,13,13,16,16,16,16,16,16
6701621806,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
7801351597,0,0,0,0,0,20,20,20,20,20,20,20,21,22,22
56102896400,2,28,70,78,102,103,121,134,139,155,169,173,209,216,230
9638930800,0,5,8,11,14,14,15,16,20,21,22,24,24,26,28
7402556178,0,0,0,0,0,0,0,0,8,8,11,11,11,11,11
9335815300,0,0,0,0,0,12,18,21,21,35,35,35,35,45,45
11140219400,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9
16040151000,7,7,7,7,7,7,30,30,30,30,48,48,55,55,107
23389770200,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2
55920332400,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
6506606989,0,4,4,5,7,10,10,39,39,39,44,53,53,53,53
12445890100,0,0,0,0,6,6,10,10,14,14,19,26,29,29,33
10939518900,0,0,0,0,5,7,7,7,7,10,10,16,18,18,18
56011200900,0,0,0,0,0,9,10,14,14,21,21,21,21,21,21
24329321000,0,0,0,0,0,3,3,3,3,3,5,5,5,11,11
56264196800,17,19,74,74,77,87,118,120,131,131,196,196,256,256,260
8527884800,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9
11139739000,0,0,0,0,0,0,0,0,0,0,0,7,7,8,8
6507622590,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3
16048305800,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7
35227984800,0,0,15,15,19,19,19,19,19,19,19,19,19,19,19
16305475400,2,2,2,6,8,8,8,9,12,12,13,13,16,16,16
56261623200,0,3,3,4,7,7,12,12,22,24,25,28,29,34,38
7004191595,0,0,3,3,3,12,12,12,12,12,12,12,12,12,12
23486553100,0,0,7,16,16,16,16,16,16,16,16,16,16,21,21
16319059800,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5
23003806600,0,0,0,11,17,22,22,26,26,50,51,52,57,60,60
10046231500,3,3,7,10,11,12,18,18,18,18,24,24,28,32,33
6506453347,0,0,0,0,0,0,0,14,14,14,14,16,16,22,22
24315254400,0,0,0,0,7,7,17,22,24,24,25,27,38,39,40
12799630500,0,0,0,0,0,0,23,23,41,45,45,51,56,89,109
56034849500,0,3,3,6,10,12,12,12,12,14,14,14,14,14,14
6504653977,0,0,0,0,1,2,2,4,6,11,15,20,44,55,74
19639016500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
12141748700,0,0,0,0,0,0,0,0,3,3,11,14,14,14,14
7004127960,0,0,0,0,0,0,0,0,0,0,51,51,93,93,123
26656928600,31,31,52,52,54,54,58,58,87,87,91,91,126,126,183
7004436970,0,0,2,11,11,11,11,11,23,25,25,25,25,25,25
35146413200,0,0,3,3,3,3,3,3,8,8,8,8,8,8,8
12791191700,0,0,2,2,2,2,6,6,6,6,6,6,6,6,6
6506503732,4,5,5,11,11,15,15,20,20,32,34,34,35,41,49
15623589400,2,5,9,10,12,17,31,36,38,41,41,45,46,52,57
55546800700,40,40,40,40,55,55,66,66,99,99,119,119,144,144,166
