Unnamed: 0,ID,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
18,7003709943,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2004
47,12240297000,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2004
59,6602364546,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2004
167,6506687058,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,2004
170,6602207446,4,9,9,18,22,24,24,24,27,28,33,33,35,40,43,2004
172,8668849800,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
189,6505928631,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
190,6603247644,2,2,2,2,2,2,4,4,4,6,10,13,13,17,19,2004
201,6603476567,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2004
306,57196821733,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2004
362,56165207900,20,65,65,65,65,65,65,65,65,65,65,65,65,65,65,2004
390,7004874094,5,5,5,5,5,5,5,5,5,5,9,9,9,9,9,2004
408,6507907677,2,2,2,2,2,4,7,9,13,15,25,27,28,32,42,2004
430,6508225953,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2004
482,55947284200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2004
525,22333878000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2004
546,6602104029,26,26,26,26,36,36,46,46,61,61,67,67,71,71,71,2004
564,13609694400,2,2,2,2,2,2,2,2,2,4,4,8,10,12,13,2004
585,55888724800,4,5,5,7,7,7,11,12,12,12,15,15,15,26,26,2004
656,8700956700,1,1,3,3,3,3,6,6,6,7,7,7,7,7,7,2004
660,6508304627,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2004
676,7006376498,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2004
680,6603046252,3,3,3,3,3,3,3,3,7,8,8,8,8,8,8,2004
687,21743369000,3,3,3,4,7,7,7,7,9,10,11,11,13,13,16,2004
695,36026187100,14,14,14,14,14,14,14,14,14,14,35,35,43,56,68,2004
708,35914975100,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2004
713,55307433500,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
715,56562922100,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2004
748,6507495155,17,21,21,21,21,21,21,21,33,33,40,40,59,67,67,2004
768,57203555921,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2004
872,57205273247,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2004
926,6701831220,1,1,1,1,1,1,1,4,6,6,6,6,6,6,6,2004
939,6701446077,9,9,9,29,29,29,29,30,30,30,30,30,30,30,30,2004
942,6505996084,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2004
995,7801629715,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,2004
1000,7101755216,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,2004
1031,7003866390,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
1153,13806139000,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2004
1169,7005235158,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
1188,37019071400,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2004
1197,23022311900,3,3,6,6,6,6,12,12,17,17,17,17,20,20,20,2004
1242,6603672082,6,6,6,8,8,8,8,8,9,9,9,9,9,9,9,2004
1243,7004245418,3,3,5,7,10,10,11,11,11,11,14,14,15,15,15,2004
1249,8393679000,9,9,9,9,9,9,9,9,9,9,15,15,15,15,26,2004
1271,56069541400,43,43,43,43,48,48,112,112,198,198,202,202,205,205,256,2004
1313,6506833359,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2004
1324,6701746486,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2004
1389,6506745130,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,2004
1400,55860668600,3,3,3,3,3,3,4,4,12,12,12,12,12,41,41,2004
1464,8961121100,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2004
1515,6602939938,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,2004
1533,7003624111,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2004
1536,35451303200,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
1540,6701311847,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,2004
1545,13106231100,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2004
1555,8326667300,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2004
1578,53866152500,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2004
1592,6603907030,1,3,4,4,4,4,4,4,4,4,4,4,4,5,5,2004
1611,6506145502,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2004
1713,6603751598,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16,2004
1714,7201468610,11,11,11,11,11,11,11,11,11,18,18,18,18,18,18,2004
