Unnamed: 0,ID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
39,7004477662,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,13,13,13,13,2000
126,6602526042,10,28,28,28,28,28,28,28,33,33,33,33,33,33,33,33,33,33,33,2000
219,6506497599,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2000
268,9336832500,3,3,8,8,10,10,10,10,10,13,13,13,14,14,14,16,16,16,21,2000
326,6506353519,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2000
330,7004575661,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2000
338,6603390490,3,3,3,3,3,3,3,5,5,5,6,7,7,7,7,7,7,8,8,2000
431,7007072060,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2000
438,57203216789,5,10,16,18,20,20,25,25,25,25,31,38,41,57,92,108,126,152,194,2000
485,36628123700,1,1,3,4,6,6,11,11,11,11,12,12,12,12,12,14,14,20,22,2000
515,7003680119,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2000
593,21643449200,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2000
605,6506656144,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2000
618,6602775044,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2000
675,47061781200,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,2000
728,6507070163,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2000
761,56618322900,1,1,22,22,29,31,31,36,50,50,57,89,89,89,89,89,89,89,89,2000
803,26642788000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2000
808,6602477210,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2000
981,7004084583,4,4,4,4,4,4,4,4,4,4,8,8,8,8,13,13,13,13,13,2000
1076,23977556500,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2000
1130,57197917646,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2000
1228,9335327900,31,31,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,2000
1463,6507835949,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2000
1560,7202914586,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2000
1648,7005350024,31,31,31,31,55,55,59,59,69,80,110,115,159,159,209,209,319,319,323,2000
1654,57197095583,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2000
1738,57191499244,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2000
1743,7006775544,1,5,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2000
1763,6506451570,1,1,1,3,3,3,3,6,9,13,15,21,25,30,43,50,55,55,56,2000
1835,57204346136,1,1,1,1,11,11,12,12,12,14,15,15,15,15,15,15,19,21,21,2000
1861,35508424300,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2000
