Unnamed: 0,ID,2016,2017,2018,start_year
50,42061855800,4,64,64,2016
51,57190745554,4,4,4,2016
58,56365987700,3,5,5,2016
76,56707356100,2,2,4,2016
97,7006062519,9,9,9,2016
98,57194657295,11,11,11,2016
102,6602350090,72,72,72,2016
116,10639679200,6,6,6,2016
137,6507310196,4,4,4,2016
138,55892431600,5,5,5,2016
166,57189664712,11,11,11,2016
186,55210333600,3,4,4,2016
202,57190943852,7,7,7,2016
218,55505575800,3,9,11,2016
222,8702625800,3,3,3,2016
226,57189213486,3,3,3,2016
233,6505920789,4,4,4,2016
235,56383419500,36,36,100,2016
240,56146573000,2,2,4,2016
243,57188342600,3,3,3,2016
287,56045574200,13,13,13,2016
291,57191039090,3,3,3,2016
292,57192371813,3,3,3,2016
301,55256351900,4,4,4,2016
305,7201365464,3,3,3,2016
313,57189311190,14,14,14,2016
315,57192295130,21,21,21,2016
320,57197672885,3,7,10,2016
329,57189344824,82,82,82,2016
350,57189072926,3,3,3,2016
354,31767729700,9,9,9,2016
355,42261460000,2,2,2,2016
382,56593116100,26,26,26,2016
386,57190300756,5,5,5,2016
402,23995705900,3,3,3,2016
404,6506951919,1,1,1,2016
413,55601764600,10,10,10,2016
423,55825941600,18,18,18,2016
469,57193573205,41,41,41,2016
473,57192384032,3,3,7,2016
481,57160175300,17,17,17,2016
555,57188752250,15,29,34,2016
561,56365321500,22,22,22,2016
572,57188733509,6,6,6,2016
581,52364876700,16,16,16,2016
622,18041833800,4,4,4,2016
623,6701834930,4,6,6,2016
652,54987307300,45,92,92,2016
666,57188671611,4,4,4,2016
671,57192593045,11,11,11,2016
683,37120574600,5,5,5,2016
686,6506564716,27,27,27,2016
710,57200630510,19,33,33,2016
730,16176209200,5,5,5,2016
742,57191052229,3,3,3,2016
744,6603757179,38,38,38,2016
800,57115512200,3,3,3,2016
804,57204698668,82,82,82,2016
823,22333378700,3,3,3,2016
827,7404782905,33,33,33,2016
843,8966521400,27,27,27,2016
853,57193797107,3,3,3,2016
863,57191737813,5,5,5,2016
875,57207661131,5,5,8,2016
883,57188678994,4,5,5,2016
891,35406320300,50,50,83,2016
897,36184972700,8,8,8,2016
903,56786364600,8,8,8,2016
909,7004053293,2,2,2,2016
941,57192701376,4,4,4,2016
980,57192237482,14,14,14,2016
987,57186398400,5,5,5,2016
988,57192834926,15,15,15,2016
1006,56078096600,3,3,3,2016
1011,55991728800,33,33,33,2016
1024,56489833200,81,81,81,2016
1028,35477147000,8,8,8,2016
1039,57188754440,5,5,5,2016
1049,36614634800,3,3,3,2016
1071,16418291100,1,1,1,2016
1073,7003429854,8,8,8,2016
1128,54683397000,4,4,4,2016
1145,57191363595,4,4,4,2016
1169,51061122800,15,15,15,2016
1184,57191475737,6,6,11,2016
1196,57190124242,3,3,3,2016
1207,57188590869,8,8,8,2016
1217,36623493800,3,3,16,2016
1249,56568363800,4,7,8,2016
1255,57193699117,4,4,4,2016
1268,56158697000,5,5,5,2016
1277,56074173200,2,2,2,2016
1317,57190948026,2,2,2,2016
1351,56103590300,4,4,8,2016
1384,55967652800,10,10,10,2016
1396,57189220123,32,32,32,2016
1425,57191711457,87,87,120,2016
1452,56419270600,6,6,6,2016
1465,57192682800,2,2,2,2016
1512,57202228246,4,4,8,2016
1543,35590499600,5,5,5,2016
1558,35520065000,5,5,5,2016
1570,57197478894,3,3,3,2016
1583,57191628140,3,3,4,2016
1589,9635513900,7,7,7,2016
1601,57193659335,4,4,8,2016
1607,57184343300,9,9,9,2016
1624,56624557600,4,4,4,2016
1628,55844557900,4,4,4,2016
1658,56736946700,9,9,9,2016
1678,56963453400,7,7,10,2016
1760,57202489667,19,19,19,2016
1801,57190340575,1,2,5,2016
1834,57189355666,3,3,3,2016
1860,55062598600,4,4,5,2016
1869,15846905100,8,8,8,2016
1888,56192356300,18,18,18,2016
1908,8955025700,7,9,9,2016
1959,6506436548,3,3,3,2016
1974,57191380147,3,7,7,2016
2000,8649715100,4,4,4,2016
2006,57194184772,11,11,11,2016
2020,16022100400,8,8,8,2016
2037,57189645750,16,16,16,2016
2038,56495282900,22,22,22,2016
2041,54681636500,3,3,3,2016
2060,55356244300,3,3,3,2016
2075,55349497100,5,14,24,2016
2078,56031368800,9,9,9,2016
2093,57199036373,6,6,6,2016
