Unnamed: 0,ID,2016,2017,2018,start_year
48,42061855800,4,64,64,2016
49,57190745554,4,4,4,2016
56,56365987700,3,5,5,2016
73,56707356100,2,2,4,2016
94,7006062519,9,9,9,2016
95,57194657295,11,11,11,2016
99,6602350090,72,72,72,2016
113,10639679200,6,6,6,2016
134,6507310196,4,4,4,2016
135,55892431600,5,5,5,2016
161,57189664712,11,11,11,2016
181,55210333600,3,4,4,2016
197,57190943852,7,7,7,2016
213,55505575800,3,9,11,2016
217,8702625800,3,3,3,2016
221,57189213486,3,3,3,2016
228,6505920789,4,4,4,2016
230,56383419500,36,36,100,2016
235,56146573000,2,2,4,2016
238,57188342600,3,3,3,2016
281,56045574200,13,13,13,2016
285,57191039090,3,3,3,2016
286,57192371813,3,3,3,2016
295,55256351900,4,4,4,2016
299,7201365464,3,3,3,2016
307,57189311190,14,14,14,2016
309,57192295130,21,21,21,2016
313,57197672885,3,7,10,2016
322,57189344824,82,82,82,2016
343,57189072926,3,3,3,2016
347,31767729700,9,9,9,2016
348,42261460000,2,2,2,2016
375,56593116100,26,26,26,2016
379,57190300756,5,5,5,2016
394,23995705900,3,3,3,2016
396,6506951919,1,1,1,2016
404,55601764600,10,10,10,2016
413,55825941600,18,18,18,2016
458,57193573205,41,41,41,2016
462,57192384032,3,3,7,2016
470,57160175300,17,17,17,2016
544,57188752250,15,29,34,2016
549,56365321500,22,22,22,2016
560,57188733509,6,6,6,2016
569,52364876700,16,16,16,2016
609,18041833800,4,4,4,2016
610,6701834930,4,6,6,2016
639,54987307300,45,92,92,2016
653,57188671611,4,4,4,2016
658,57192593045,11,11,11,2016
669,37120574600,5,5,5,2016
672,6506564716,27,27,27,2016
696,57200630510,19,33,33,2016
716,16176209200,5,5,5,2016
728,57191052229,3,3,3,2016
730,6603757179,38,38,38,2016
786,57115512200,3,3,3,2016
790,57204698668,82,82,82,2016
807,22333378700,3,3,3,2016
811,7404782905,33,33,33,2016
826,8966521400,27,27,27,2016
836,57193797107,3,3,3,2016
844,57191737813,5,5,5,2016
856,57207661131,5,5,8,2016
864,57188678994,4,5,5,2016
872,35406320300,50,50,83,2016
878,36184972700,8,8,8,2016
883,56786364600,8,8,8,2016
889,7004053293,2,2,2,2016
919,57192701376,4,4,4,2016
958,57192237482,14,14,14,2016
964,57186398400,5,5,5,2016
965,57192834926,15,15,15,2016
983,56078096600,3,3,3,2016
988,55991728800,33,33,33,2016
1001,56489833200,81,81,81,2016
1005,35477147000,8,8,8,2016
1016,57188754440,5,5,5,2016
1026,36614634800,3,3,3,2016
1048,16418291100,1,1,1,2016
1050,7003429854,8,8,8,2016
1104,54683397000,4,4,4,2016
1120,57191363595,4,4,4,2016
1143,51061122800,15,15,15,2016
1158,57191475737,6,6,11,2016
1170,57190124242,3,3,3,2016
1181,57188590869,8,8,8,2016
1189,36623493800,3,3,16,2016
1220,56568363800,4,7,8,2016
1226,57193699117,4,4,4,2016
1239,56158697000,5,5,5,2016
1248,56074173200,2,2,2,2016
1287,57190948026,2,2,2,2016
1320,56103590300,4,4,8,2016
