Unnamed: 0,ID,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
60,55945636700,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1995
172,6701760555,2,2,6,6,6,12,12,12,12,22,22,26,39,49,57,57,57,69,69,69,71,76,76,81,1995
603,7801589808,3,3,3,3,3,6,6,7,7,8,8,8,8,8,8,8,21,21,28,28,28,28,28,28,1995
660,26643275400,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1995
1042,7006470900,3,3,3,3,3,3,3,4,4,4,4,11,12,12,12,12,18,21,23,29,29,29,34,34,1995
1083,56064235100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1995
1218,57117171900,2,2,2,2,3,3,3,3,3,3,3,7,7,7,10,11,11,16,19,21,24,27,28,28,1995
1475,57191526157,2,2,2,5,5,7,7,11,11,11,11,17,19,23,27,38,48,52,66,67,76,90,94,94,1995
1836,7006019194,7,7,7,7,7,11,11,11,11,11,11,24,24,28,28,43,47,53,69,69,69,69,69,69,1995
2095,57196396429,3,3,3,3,3,23,23,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,1995
2167,6603118231,1,1,1,1,7,7,7,7,11,11,11,11,11,11,11,11,14,14,14,14,14,14,14,14,1995
2343,7004181133,2,2,2,2,9,9,9,9,9,9,14,14,18,21,24,27,30,32,32,37,37,37,37,39,1995
2701,7003344442,5,9,18,18,28,31,34,35,35,35,36,39,43,46,47,47,47,47,47,47,47,47,47,47,1995
2786,6603033095,2,2,5,5,9,11,11,13,13,15,16,18,28,33,35,39,43,46,47,48,50,52,57,58,1995
2828,6603295605,2,4,5,9,13,15,15,22,22,22,22,22,22,27,27,33,33,33,33,33,48,50,53,53,1995
2858,7006276528,2,2,2,2,2,2,7,8,9,9,9,9,9,9,9,9,9,11,11,13,13,25,29,32,1995
2884,7005170445,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1995
3075,6602242543,3,3,3,3,3,3,3,3,3,3,3,4,7,7,7,7,11,13,20,20,23,23,23,23,1995
