Unnamed: 0,ID,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
34,55945636700,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1995
102,6701760555,2,2,6,6,6,12,12,12,12,22,22,26,39,49,57,57,57,69,69,69,71,76,76,81,1995
578,7006470900,3,3,3,3,3,3,3,4,4,4,4,11,12,12,12,12,18,21,23,29,29,29,34,34,1995
673,57117171900,2,2,2,2,3,3,3,3,3,3,3,7,7,7,10,11,11,16,19,21,24,27,28,28,1995
1031,7006019194,7,7,7,7,7,11,11,11,11,11,11,24,24,28,28,43,47,53,69,69,69,69,69,69,1995
1207,6603118231,1,1,1,1,7,7,7,7,11,11,11,11,11,11,11,11,14,14,14,14,14,14,14,14,1995
1297,7004181133,2,2,2,2,9,9,9,9,9,9,14,14,18,21,24,27,30,32,32,37,37,37,37,39,1995
1530,6603033095,2,2,5,5,9,11,11,13,13,15,16,18,28,33,35,39,43,46,47,48,50,52,57,58,1995
1686,6602242543,3,3,3,3,3,3,3,3,3,3,3,4,7,7,7,7,11,13,20,20,23,23,23,23,1995
1731,56261556300,1,1,1,4,4,4,14,15,16,16,16,18,19,26,29,29,30,32,32,34,34,35,38,41,1995
1751,7007010465,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,1995
2148,7005788982,2,2,2,2,2,2,3,3,3,3,6,6,6,15,19,19,19,21,21,21,22,22,22,22,1995
2529,35580567700,4,4,4,8,9,11,11,11,13,13,13,15,24,27,28,28,30,30,32,32,32,32,32,34,1995
2916,6603361103,2,4,5,5,5,7,8,8,9,11,15,17,23,25,25,31,41,44,47,50,53,53,57,67,1995
2997,7005911153,6,6,11,11,17,21,22,22,22,22,22,23,23,23,23,23,23,25,25,28,28,28,34,34,1995
3257,7004482565,4,8,9,9,9,9,9,13,14,16,16,19,24,25,25,31,32,34,42,44,50,53,54,54,1995
3378,7004490485,7,9,14,17,31,33,33,33,35,35,35,35,41,41,47,47,57,61,61,75,77,77,85,95,1995
3900,6603431322,3,4,5,5,6,6,6,6,6,7,7,7,8,8,10,10,11,13,14,14,14,14,14,14,1995
4059,6603817744,3,3,5,5,6,6,6,7,7,8,9,15,18,18,21,23,23,24,24,25,26,26,26,26,1995
4525,6603966918,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1995
5008,7004325009,4,4,4,4,7,7,7,11,12,12,22,23,26,26,28,28,28,28,30,30,31,31,31,31,1995
5276,7003986387,2,2,2,3,3,3,3,3,3,3,3,3,3,3,5,7,7,7,7,7,7,7,7,7,1995
5496,6603103304,2,2,2,2,2,2,2,2,2,2,2,2,5,8,8,8,16,16,16,16,16,16,16,16,1995
5534,7003424936,15,15,31,31,31,31,66,66,68,71,102,102,114,114,131,155,264,264,264,264,264,264,264,264,1995
5823,55887903500,2,8,8,8,8,8,8,12,12,12,12,20,20,20,23,27,30,30,46,52,52,52,52,52,1995
6154,55844995800,1,1,2,2,2,2,2,2,4,4,4,4,4,5,5,5,5,5,5,11,11,12,12,16,1995
6170,7003518816,2,2,2,2,2,2,2,2,2,2,5,9,9,9,9,9,9,9,9,9,14,14,17,22,1995
6220,7003962440,4,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,7,15,15,15,15,15,15,15,1995
6227,6603938472,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1995
6362,7102313757,5,5,5,5,5,5,5,5,5,11,11,11,11,11,11,11,21,21,21,21,21,21,21,21,1995
6413,56038585500,13,13,13,13,13,13,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,1995
6606,54585959500,1,26,26,26,26,27,27,28,29,30,33,34,34,34,34,38,40,40,40,41,42,44,72,73,1995
6865,8524757200,1,2,2,4,5,5,11,17,26,51,63,72,89,102,107,124,130,140,148,155,156,161,172,176,1995
6907,7003404986,1,1,1,3,11,12,15,19,32,34,40,42,54,63,74,87,92,99,102,111,143,151,162,164,1995
7769,35230847400,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1995
7927,35306340000,1,2,2,3,3,3,3,6,7,7,15,16,23,28,36,53,55,63,64,71,74,75,76,97,1995
8760,6603459777,4,8,9,9,9,9,9,9,12,12,13,16,16,16,16,25,27,30,31,35,35,38,38,40,1995
8884,35605416800,2,3,4,18,18,18,19,19,23,23,25,25,34,34,40,40,44,46,48,54,55,58,58,58,1995
8968,7102615318,1,1,1,1,4,5,5,6,9,10,10,15,15,19,22,34,35,37,38,38,46,49,49,58,1995
9054,7005095300,1,1,1,1,1,1,2,3,10,11,11,13,13,13,14,14,14,16,16,16,16,16,16,16,1995
9470,8854255300,1,1,1,3,4,6,7,11,11,15,22,24,30,30,35,35,35,36,37,37,37,37,37,37,1995
9585,6602703893,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1995
9631,6603846634,2,2,5,5,6,10,12,15,16,20,20,20,20,20,20,20,20,22,22,22,22,22,22,22,1995
9650,6604045895,1,1,1,3,4,4,4,4,6,12,14,14,14,14,14,14,14,16,16,16,16,16,16,16,1995
9728,7003597651,9,9,9,12,12,12,13,13,13,21,21,21,21,32,49,65,72,78,78,85,88,88,88,88,1995
