Unnamed: 0,ID,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
5,7005124189,12,12,15,15,15,15,15,40,40,47,59,70,76,87,103,120,123,130,131,138,150,160,160,167,178,1994
70,57205054402,1,1,1,1,1,1,1,1,1,2,2,4,4,6,11,13,13,14,22,27,30,31,33,34,34,1994
152,10840783800,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1994
460,35617415500,2,2,2,2,2,2,4,4,6,8,10,13,14,15,16,16,20,20,22,24,25,25,25,25,30,1994
1058,6603394301,18,18,24,24,29,29,29,29,45,60,60,60,65,65,65,65,65,65,65,90,90,90,102,102,102,1994
1280,12796880800,3,3,3,6,6,10,10,10,10,10,13,14,14,14,14,16,24,24,24,33,37,37,37,37,37,1994
1556,35985372000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,1994
1762,55888144200,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1994
2346,7003809158,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1994
3136,7003931623,3,7,7,10,13,23,32,39,48,54,54,61,61,61,68,80,90,90,96,96,98,98,102,109,114,1994
3155,7006095006,11,11,11,15,15,15,15,15,30,30,36,44,49,52,56,61,61,61,61,61,61,61,61,61,61,1994
3166,56276900600,1,3,3,7,7,9,9,9,12,12,14,14,15,18,21,22,28,28,31,31,34,34,34,34,34,1994
3305,8690118600,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,7,1994
3346,7003718565,3,3,3,3,3,3,6,6,6,6,11,11,11,11,11,11,11,11,21,26,30,30,30,30,30,1994
3987,6701437376,1,1,1,2,2,2,6,6,6,6,6,6,6,7,9,9,9,9,11,15,15,15,15,17,20,1994
4038,7003743029,4,4,4,4,4,4,4,9,15,15,23,27,35,36,36,48,48,83,87,91,91,91,91,91,92,1994
4315,7006678367,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1994
4858,7003893193,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,6,6,7,7,11,17,22,23,23,1994
5041,56234829600,1,1,1,2,2,2,2,2,3,3,4,9,16,19,25,25,35,48,52,58,68,77,91,96,100,1994
5920,25221371300,2,2,2,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1994
5942,7007055377,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1994
6437,7006296776,8,9,9,9,14,14,14,25,25,37,37,37,37,39,39,43,62,62,62,62,62,62,62,62,62,1994
6575,6701519226,3,4,4,7,7,9,9,11,11,12,15,19,25,26,29,32,35,50,55,63,63,64,66,68,70,1994
6612,7004600556,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,7,7,7,7,7,7,7,7,7,1994
6835,6701437474,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,1994
7079,23393637700,2,2,2,2,2,2,2,2,5,5,6,7,11,11,15,17,18,26,26,26,28,28,28,28,28,1994
7432,6701374613,2,2,3,3,18,18,18,18,18,18,19,19,19,20,21,21,23,24,24,25,26,26,26,26,26,1994
7590,6507810083,2,2,2,2,2,3,6,6,6,8,8,8,8,8,10,13,13,13,13,13,13,13,13,13,13,1994
7824,6506512556,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,8,12,12,12,17,17,17,17,17,1994
7825,6602310951,2,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1994
9038,7004285555,3,8,8,10,20,23,37,49,52,55,61,67,69,78,80,95,101,108,115,124,125,129,173,178,187,1994
9199,6603331971,2,3,3,3,4,4,5,7,7,7,7,7,9,10,10,10,12,16,22,33,34,34,34,35,35,1994
9461,57202491896,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1994
9617,56633916600,1,1,1,2,2,2,2,3,3,3,3,3,3,5,5,7,9,9,10,10,10,10,10,10,10,1994
9647,6602588542,7,7,7,7,7,7,7,7,8,10,13,14,15,15,18,18,18,18,24,24,26,32,34,35,37,1994
9808,56164332000,2,2,2,2,2,2,2,5,5,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1994
10135,6701737144,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1994
10393,55755920400,4,5,6,12,13,14,19,19,20,20,20,21,21,26,26,28,32,33,34,34,34,35,36,36,36,1994
10406,7007029848,3,3,3,3,6,8,8,8,8,8,11,15,15,15,15,15,15,15,17,17,17,19,19,19,19,1994
10475,6603449604,1,4,4,7,9,11,15,17,20,35,38,40,45,50,50,62,79,88,99,108,114,120,131,132,139,1994
10616,7003477557,3,3,3,3,4,4,4,4,4,4,4,5,10,10,10,10,13,13,13,13,17,17,17,17,17,1994
10644,6701771536,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1994
11353,6602799867,4,4,9,11,13,13,13,17,17,18,18,18,18,21,21,21,21,21,21,21,21,21,21,21,21,1994
11406,7004644775,3,3,3,5,5,8,12,12,12,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,1994
11449,6701805627,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1994
11630,6603158612,1,1,1,1,1,1,4,4,4,7,7,7,8,10,10,10,10,10,10,10,10,10,10,10,14,1994
11631,6506563646,2,2,2,2,2,3,3,3,3,3,3,3,3,4,7,14,14,17,21,24,24,24,24,25,25,1994
12046,7005168193,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,1994
12148,6602483179,8,8,8,8,8,8,8,8,8,8,13,18,18,19,22,22,24,24,24,24,24,24,24,24,24,1994
12227,6603790340,2,2,2,3,3,3,3,3,3,3,3,6,8,8,8,8,8,8,8,8,8,8,8,8,8,1994
12273,7003287869,2,2,4,10,12,12,12,14,16,16,18,20,21,21,28,32,32,32,32,32,34,34,37,37,41,1994
12343,35600062600,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1994
12520,55436230300,1,1,1,1,1,1,1,1,2,2,2,2,4,5,5,5,5,5,5,7,7,7,9,10,10,1994
12642,57204336319,9,9,10,10,10,10,10,10,10,21,21,29,29,29,29,34,37,39,39,39,43,50,50,55,56,1994
12818,7003346504,9,9,9,14,15,15,15,15,15,17,17,24,29,30,30,31,49,58,72,74,83,84,90,90,90,1994
12871,56012445100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,1994
